university,ouac_code,program_name,status,admission_grade,admission_date,supplemental_required
Brock,BAI,Concurrent BA Integrated Studies (Honours) BEd Junior/Intermediate,Offer,92,11/9/2024,
Brock,BAI,Concurrent BA (Honours) BEd Intermediate/Senior (English),Offer,92,11/19/2024,
Brock,BAJ,Concurrent BA/BEd-Jr/Int-Integrated Studies,Offer,90.83,4/28/2025,
Brock,BCH,BSc Honours: Biochemistry,Offer,97,1/2/2025,
Brock,BD,Child and Youth Studies,Offer,93,11/12/2024,
Brock,BDP,Concurrent BA Child & Youth Studies (Honours) BEd Primary/Junior,Offer,89.5,4/30/2025,
Brock,BG,BSc Honours: Computer Science,Offer,89,10/7/2024,
Brock,BG,BSc Honours: Computer Science,Offer,95,11/12/2024,
Brock,BG,BSc Honours: Computer Science,Offer,80,2/10/2025,
Brock,BGE,Geography,Offer,94.33,10/28/2024,
Brock,BH,BSc Honours: Mathematics & Statistics,Offer,83,2/28/2025,
Brock,BI,Bachelors of science,Offer,81.66,2/28/2025,
Brock,BII,Honours Concurrent BSc/BEd-Intermediate/Senior - Chemistry Major,Offer,95,10/25/2024,
Brock,BII,Concurrent BSc (Honours) BEd Intermediate/Senior (Mathematics),Offer,92.33,12/4/2024,
Brock,BIM,BSc Honours: Biomedical Sciences,Offer,89,11/10/2024,
Brock,BIM,BSc Honours: Biomedical Sciences,Offer,93,11/15/2024,
Brock,BIM,BSc Honours: Biomedical Sciences,Offer,88.25,11/21/2024,
Brock,BIN,BSc Honours: Neuroscience Co-op,Offer,94,11/18/2024,
Brock,BK,BAcc Honours: Accounting,Offer,93,11/13/2024,
Brock,BK,BAcc Honours: Accounting,Offer,86,11/25/2024,
Brock,BK,BAcc Honours: Accounting - Co-op,Offer,93,11/26/2024,
Brock,BK,BAcc Honours: Accounting,Offer,93- MCR3U BAF3M-92 SNC4M-93 MHF4U-82 ENG4U-86 BBB4M- 84,1/7/2025,
Brock,BK,BAcc Honours: Accounting,Offer,83.25,1/7/2025,
Brock,BK,BAcc Honours: Accounting - Co-op,Offer,89,1/14/2025,
Brock,BND,BBA Honours: Business Administration Co-op International Double Degree,Offer,88,11/29/2024,
Brock,BNS,BScN Honours: Nursing,Offer,94.66,10/25/2024,
Brock,BNS,BScN Honours: Nursing,Offer,Gr 11: 91.71; Completed Gr 12 Courses: 94,11/1/2024,
Brock,BNS,BScN Honours: Nursing,Offer,93,11/1/2024,
Brock,BNS,BScN Honours: Nursing,Offer,91,11/18/2024,
Brock,BNS,BScN Honours: Nursing,Offer,95.67,12/4/2024,
Brock,BNS,BScN Honours: Nursing,Offer,90,1/13/2025,
Brock,BNS,BScN Honours: Nursing,Offer,94.8,2/25/2025,
Brock,BNS,BScN Honours: Nursing,Offer,91,4/30/2025,
Brock,BPE,Concurrent BA Integrated Studies (Honours) BEd Junior/Intermediate: Educational Studies,Offer,91,11/21/2024,
Brock,BPI,Concurrent Teacher Education - Intermediate/Senior,Offer,96.67,11/20/2024,
Brock,BPY,psychology BA,Offer,79%,5/23/2025,
Brock,BSH,BSc Honours: Medical Sciences,Offer,89.5,1/3/2025,
Brock,BSM,Sport Management,Offer,90,11/23/2024,
Carleton,CBE,Economics Honours - Financial Economics,Offer,84.2,12/6/2024,
Carleton,CC,Commerce (Finance (co-op optional)),Offer,84,11/4/2024,
Carleton,CC,Bachelor of Commerce - Honours,Offer,94,11/27/2024,
Carleton,CC,Bachelor of Commerce Honours: Accounting,Offer,91,11/27/2024,
Carleton,CC,Commerce Business Analytics,Offer,84.2,1/7/2025,
Carleton,CC,Commerce,Offer,94,1/8/2025,
Carleton,CC,Commerce (Accounting (co-op optional)),Offer,87,1/22/2025,
Carleton,CEA,Engineering: Aerospace,Offer,97.8,11/26/2024,
Carleton,CEA,Engineering: Aerospace Co-Op,Offer,97,11/26/2024,
Carleton,CEA,Engineering: Aerospace Co-Op,Offer,97.8,11/27/2024,
Carleton,CEA,Engineering: Aerospace,Offer,91,11/27/2024,
Carleton,CEA,Engineering: Aerospace Co-Op,Offer,91,11/27/2024,
Carleton,CEA,Engineering: Aerospace Co-Op,Offer,91,11/27/2024,
Carleton,CEA,Engineering: Aerospace Co-Op,Offer,96,12/6/2024,
Carleton,CEA,Engineering: Aerospace,Offer,88.5,2/20/2025,
Carleton,CEA,Engineering: Aerospace Co-Op,Offer,89.33,4/28/2025,
Carleton,CEB,Engineering: Civil,Offer,90.25,12/13/2024,
Carleton,CEC,Computer Systems Engineering,Offer,96,12/4/2024,
Carleton,CEC,Computer Systems Engineering (Co-op),Offer,92.2,12/5/2024,
Carleton,CED,Engineering: Mechanical,Offer,89.5,11/14/2024,
Carleton,CED,Engineering: Mechanical,Offer,90.0 (through 4),11/27/2024,
Carleton,CED,Engineering: Mechanical,Offer,92.17,11/27/2024,
Carleton,CED,Engineering: Mechanical,Offer,95,12/6/2024,
Carleton,CED,Engineering: Mechanical,Offer,91.83,3/14/2025,
Carleton,CEF,Electrical Engineering,Offer,98.67,11/27/2024,
Carleton,CEF,Engineering: Electrical (Co-op),Offer,92.2,11/28/2024,
Carleton,CEF,Electrical Engineering,Offer,90,1/8/2025,
Carleton,CEF,Engineering: Electrical (Co-op),Offer,89,1/10/2025,
Carleton,CEF,Electrical Engineering,Offer,93,2/8/2025,
Carleton,CEG,Engineering: Biomedical and Electrical,Offer,89.67,12/17/2024,
Carleton,CEG,"Biomedical and electrical engineering, coop",Offer,92.8,1/10/2025,
Carleton,CES,Engineering: Software,Offer,84.6,12/2/2024,
Carleton,CES,"Bachelor of Engineering: Software, Co-operative Education",Offer,88,12/4/2024,
Carleton,CES,Engineering: Software,Offer,97.5,12/5/2024,
Carleton,CES,Engineering: Software,Offer,93,12/5/2024,
Carleton,CES,Engineering: Software,Offer,81,12/5/2024,
Carleton,CES,Engineering: Software,Offer,90,1/8/2025,
Carleton,CEX,Engineering: Architectural Conservation and Sustainability,Offer,81.8,4/29/2025,Yes but not completed
Carleton,CH,Arts Honours,Offer,94,12/3/2024,
Carleton,CH,Arts Honours,Offer,90.05,12/4/2024,
Carleton,CH,Bachelor of Arts Honours: Business Law,Offer,"90, 88, 87, 86, 87, 86",1/10/2025,
Carleton,CH,Law - Business law,Offer,83,1/12/2025,
Carleton,CHS,Health Sciences Honours,Offer,86.33,2/20/2025,
Carleton,CK,Science Major - Biology,Offer,91,11/28/2024,
Carleton,CK,Science Major - Biology,Offer,90.67,12/3/2024,
Carleton,CMA,Bachelor of Mathematics Honours: Statistics: Actuarial Science Co-op,Offer,93,11/28/2024,
Carleton,CMA,Bachelor of Mathematics (co-op),Offer,96.5,12/6/2024,
Carleton,CN,Nursing,Offer,91,3/25/2025,Resume & response to a supplementary question
Carleton,COD,Computer Science Co-op - AI/ML Specialization,Offer,99.7,11/28/2024,
