university,ouac_code,program_name,status,admission_grade,admission_date,supplemental_required,supp_notes,comments
Bristol,,Mechanical Engineering,Offer,97,11/17/2025,,"President of Athletic council, elite-level hockey, 1590 SAT, 5's on 3 APs",
Brock,BAI,Concurrent BA/BEd-Intermediate/Senior,Offer,95.16,11/12/2025,,,
Brock,BAI,Concurrent BA/BEd-Intermediate/Senior,Offer,91.5,11/26/2025,,,
Brock,BAI,Concurrent BA/BEd-Intermediate/Senior,Offer,94,12/15/2025,,,IB
Brock,BBC,Critical Criminology,Offer,73,11/24/2025,,,
Brock,BCH,Biochemistry,Offer,91.4,11/4/2025,,,MCV4U and MHF4U taken in grade 11.
Brock,BDP,Concurrent Education Child and Youth Studies/BEd (Primary/Junior),Offer,96.2,10/20/2025,,,
Brock,BDP,Concurrent Education Child and Youth Studies/BEd (Primary/Junior),Offer,95.5,10/20/2025,,,"$7,000 scholarship"
Brock,BDP,Concurrent Education Child and Youth Studies/BEd (Primary/Junior),Offer,88,2/9/2026,,,
Brock,BDP,Concurrent Education Child and Youth Studies/BEd (Primary/Junior),Offer,88,4/27/2026,,,Was initially given an alternate offer for BA Child and Youth Studies with no BEd on March 3rd
Brock,BFC,Forensic Psychology and Criminal Justice,Offer,94,10/21/2025,,,$3000 scholarship
Brock,BFC,Forensic Psychology and Criminal Justice,Offer,86.66,1/15/2026,,,"$3,000 scholarship"
Brock,BHI,History,Offer,95,10/21/2025,,,$7000 Scholarship
Brock,BHI,History,Offer,79.59,3/3/2026,,,
Brock,BII,Concurrent Bsc/BEd - Intermediate/Senior,Offer,92.8,10/30/2025,,,
Brock,BII,Concurrent Bsc/BEd - Intermediate/Senior,Offer,98.33,11/5/2025,,,Math Major. $7000 scholarship.
Brock,BII,Concurrent BSc/BEd - Intermediate/Senior (Mathematics),Offer,93,12/19/2025,,,
Brock,BII,Concurrent Bsc/BEd - Intermediate/Senior,Offer,94.2,2/13/2026,,,"3 final grades, 2 midterms and English from Gr. 11"
Brock,BIJ,Concurrent BSc/BEd - Jr/Int-Integrated Studies,Offer,95.16,10/21/2025,,,
Brock,BIM,Biomedical Sciences,Offer,89.5,10/21/2025,,,
Brock,BK,Accounting,Offer,95.33,10/21/2025,,,
Brock,BK,Accounting,Offer,85,10/21/2025,,,
Brock,BK,Accounting,Offer,90,10/28/2025,,,
Brock,BK,Accounting,Offer,91,11/17/2025,,,
Brock,BK,Accounting,Offer,83.5,11/20/2025,,,
Brock,BK,Accounting (Co-op),Offer,85.25,12/8/2025,,,
Brock,BK,Accounting (Co-op),Offer,84,2/15/2026,,,
Brock,BK,Accounting,Offer,86,3/3/2026,,,
Brock,BN,BBA: Business Administration,Offer,89,11/5/2025,,,"$5,000 scholarship"
Brock,BN,BBA: Business Administration,Offer,93.5,11/25/2025,,,
Brock,BN,BBA: Business Administration,Offer,87.5,2/13/2026,,,
Brock,BND,BBA: Business Administration Co-op International Double Degree,Offer,91,11/20/2025,,,5k Entrance Scholarship
Brock,BND,BBA: Business Administration Co-op International Double Degree,Offer,92.5,1/30/2026,,,
Brock,BND,BBA: Business Administration Co-op International Double Degree,Offer,89,5/5/2026,,,Selected Ireland for partner school. At the time I accepted there was 5 spots left for Dublin and 8 spots for France.
Brock,BNG,Integrated Engineering,Offer,91,12/3/2025,,,
Brock,BNS,Nursing,Offer,95.3,10/23/2025,,,
Brock,BNS,Nursing,Offer,95,10/27/2025,,,
Brock,BNS,Nursing,Offer,96,10/28/2025,,,IB but idt it matters
Brock,BNS,Nursing,Offer,94,11/17/2025,,,
Brock,BNS,Nursing,Offer,91,11/17/2025,,,Took a grade 12 course in grade 11 for early acceptance
Brock,BNS,Nursing,Offer,92.17,11/19/2025,,,
Brock,BNS,Nursing,Offer,94.167,11/25/2025,,,
Brock,BNS,Nursing,Offer,93.33,11/26/2025,,,
Brock,BNS,Nursing,Offer,91.16,11/26/2025,,,
Brock,BNS,Nursing,Offer,92,12/1/2025,,,
Brock,BNS,Nursing,Offer,92,12/3/2025,,,
Brock,BNS,Nursing,Offer,95.66,12/12/2025,,,
Brock,BNS,Nursing,Offer,87.17,12/22/2025,,,
Brock,BNS,Nursing,Offer,90,1/5/2026,,,
Brock,BNS,Nursing,Offer,86.83,1/5/2026,,,
Brock,BNS,Nursing,Offer,90.5,2/6/2026,,,
Brock,BNS,Nursing,Offer,90.2,2/14/2026,,,
Brock,BNS,Nursing,Offer,93.5,2/18/2026,,,
Brock,BNS,Nursing,Offer,88.5,2/18/2026,,,
Brock,BNS,Nursing,Offer,87.6,2/18/2026,,,
Brock,BNS,Nursing,Offer,92,2/19/2026,,,
Brock,BNS,Nursing,Offer,91,2/19/2026,,,
Brock,BNS,Nursing,Offer,88,2/19/2026,,,
Brock,BNS,Nursing,Offer,87.33,2/19/2026,,,
Brock,BNS,Nursing,Offer,85.5,2/19/2026,,,
Brock,BNS,Nursing,Offer,88.6,2/24/2026,,,
Brock,BNS,Nursing,Offer,86,3/4/2026,,,
Brock,BNS,Nursing,Offer,91,3/13/2026,,,
Brock,BNS,Nursing,Offer,87,4/24/2026,,,Received offer for second choice in March. I only had three of four prereqs done in the first sem. So Brock waited until my midterms came out to offer me first choice program. (1 day after)
Brock,BPH,Philosophy,Offer,83,11/5/2025,,,I originally applied to criminology in September and received and accepted an offer in early October
Brock,BPU,Public Health,Offer,82,3/4/2026,,,
Brock,BPY,Psychology (BA),Offer,90.83,12/2/2025,,,
Brock,BPY,Psychology (BA),Offer,71.83,3/4/2026,,,applied for concurrent education but got deferred to psychology until they receive my second sem midterms
Brock,BQ,Classics,Offer,94.5,12/2/2025,,,
Brock,BS,Biological Sciences,Offer,84.25,11/19/2025,,,
Brock,BSH,Medical Sciences,Offer,88.2,10/25/2025,,,
Brock,BSH,Medical Sciences,Offer,95.83,11/3/2025,,,
Brock,BSH,Medical Sciences,Offer,88,11/17/2025,,,
Brock,BSH,Medical Sciences,Offer,91.62,12/2/2025,,,
Brock,BSH,Medical Sciences,Offer,83,2/2/2026,,,
Brock,BSH,Medical Sciences,Offer,85,2/13/2026,,,
Brock,BSH,Medical Sciences,Offer,92.16,2/26/2026,,,
Brock,BSH,Medical Sciences,Offer,85.25,4/6/2026,,,
Brock,BSK,Kinesiology,Offer,85,11/11/2025,,,
Brock,BSM,Sport Management,Offer,90.17,11/19/2025,,,
Brock,BSM,Sport Management,Offer,81,1/23/2026,,,
Brock,BW,Recreation & Leisure,Offer,83,3/3/2026,,,
Carleton,CBA,Accounting,Offer,87,11/12/2025,,,
Carleton,CBA,Accounting (Co-op),Offer,85.25,12/8/2025,,,
Carleton,CBB,International Business,Offer,89.1,11/3/2025,,,
Carleton,CBB,International Business,Offer,90,11/4/2025,,,"3k admission scholarship, mandatory international exchange"
Carleton,CBE,Economics,Offer,88.67,5/15/2026,,,didnt apply for it they just gave it to me
Carleton,CC,"Commerce, Finance with Coop",Offer,94,11/7/2025,,,
Carleton,CC,Commerce (international business),Offer,83,11/21/2025,,,$8000 entry scholarship
Carleton,CC,Commerce,Offer,78,1/17/2026,,"Currently a first year DECA provincial qualifier, swim team",
Carleton,CCC,Commerce,Offer,77,2/24/2026,,,Legacy at Carleton
Carleton,CEA,Engineering: Aerospace,Offer,95.67,10/29/2025,,,"$12,000 scholarship + 4U functions taken in grade 11 (the rest are final grade 11 marks)"
Carleton,CEA,Engineering: Aerospace,Offer,88.5,10/29/2025,,,
Carleton,CEA,Engineering: Aerospace,Offer,97.33,10/30/2025,,Supp app was not required,
Carleton,CEA,Engineering: Aerospace,Offer,98.5,11/5/2025,,,
Carleton,CEA,Engineering: Aerospace,Offer,94,11/5/2025,,,
Carleton,CEA,Engineering: Aerospace,Offer,93.17,11/5/2025,,,Took Calculus and Advanced Functions in grade 11
Carleton,CEA,Engineering: Aerospace,Offer,92.67,11/5/2025,,,"$16000 entrance scholarship (over 4 years), which doesn't match the grades I need for that (95+) so I assume they predicted my grades rising? So far they are, up to 94.67 now, hoping to hit 96.5"
Carleton,CEA,Engineering: Aerospace,Offer,90.17,11/5/2025,,,I am a provincial level competitive swimming and was a part of my schools FRC team where we have qualified for the world champs many times in a row
Carleton,CEA,Engineering: Aerospace,Offer,97.67,11/7/2025,,,"$16,000 scholarship (4k per year, renewable)"
Carleton,CEA,Engineering: Aerospace,Offer,98,11/11/2025,,,honestly overkill lol
Carleton,CEA,Engineering: Aerospace,Offer,95.5,11/11/2025,,,"$16k scholarship (4k per year, renewable for 4 years)"
Carleton,CEA,Engineering: Aerospace,Offer,92.2,11/12/2025,,,
Carleton,CEA,Engineering: Aerospace,Offer,99,11/13/2025,,,
Carleton,CEA,Engineering: Aerospace,Offer,93.5,11/19/2025,,,
Carleton,CEA,Engineering: Aerospace,Offer,94.5,11/20/2025,,,
Carleton,CEA,Engineering: Aerospace,Offer,94.3,12/1/2025,,,"4k renewable scholarship, group b bc Private school w/French bac"
Carleton,CEA,Engineering: Aerospace,Offer,92.33,12/15/2025,,,I got the acceptance in a week.
Carleton,CEA,Engineering: Aerospace,Offer,87.44,1/22/2026,,,"Metis, IB: HL Chem, ESS, Lang&Lit, SL: AA, Physics, French (Clutched up for mid-terms with a 8% increase in HL Chem, 3% in AA and 5% in Physics) Also got a 8K admissions scholarship, 2k for the first year. Need to maintain an 85 so can't slack off."
Carleton,CEA,Engineering: Aerospace,Offer,90,2/24/2026,,,
Carleton,CEA,Engineering: Aerospace,Offer,92,3/18/2026,,,"3 on AP lang, 5 on AP french, AP physics course but did not take exam, took several grade 12 courses early, 3k renewable entrance scholarship yippee!"
Carleton,CEA,Engineering: Aerospace,Offer,90,4/16/2026,,,$12000 scholarship
Carleton,CEA,Engineering: Aerospace,Offer,92.67,5/7/2026,,,
Carleton,CEA,Engineering: Aerospace,Rejected,90,6/3/2026,,,
Carleton,CEB,Engineering: Civil,Offer,94,10/28/2025,,,
Carleton,CEB,Engineering: Civil,Offer,83.6,10/28/2025,,,66 in physics grade 11
Carleton,CEB,Engineering: Civil,Offer,96.67,10/29/2025,,,
Carleton,CEB,Engineering: Civil,Offer,94.5,10/29/2025,,,
Carleton,CEB,Engineering: Civil,Offer,82.66,11/6/2025,,,
Carleton,CEB,Engineering: Civil,Offer,92,12/3/2025,,,
Carleton,CEB,Engineering: Civil,Offer,92,12/4/2025,,,
